task_id,Trial_1,Trial_2,Trial_3,Trial_4
0,1,1,1,1
1,1,1,1,1
2,1,1,1,1
3,1,1,0,1
4,1,1,1,1
5,1,1,1,1
6,0,0,0,0
7,0,0,0,1
8,1,1,1,1
9,0,0,0,0
10,0,1,0,0
11,1,1,1,1
12,1,0,0,1
13,1,1,0,1
14,1,0,1,0
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,0,0,1,0
20,0,0,1,0
21,1,1,1,0
22,0,0,0,0
23,1,1,1,1
24,0,0,0,0
25,0,0,0,0
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,0,1,1,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,1,0,0
34,0,0,1,1
35,1,0,1,1
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,1,0,1
40,1,1,1,1
41,0,0,0,0
42,1,0,0,0
43,1,1,1,1
44,0,0,0,0
45,1,0,0,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,0,0,0,0
50,1,1,1,1
51,1,1,1,1
52,0,0,0,0
53,1,1,1,1
54,0,0,0,0
55,0,0,0,0
56,1,0,1,0
57,1,1,1,1
58,0,1,1,1
59,0,0,0,0
60,1,1,0,1
61,1,1,1,1
62,1,0,1,0
63,0,0,0,0
64,0,0,0,0
65,1,1,1,1
66,0,0,0,0
67,1,1,1,1
68,1,1,1,1
69,0,0,0,0
70,1,1,1,1
71,0,0,1,1
72,0,0,0,0
73,1,1,1,1
74,0,1,1,1
75,1,1,1,1
76,0,0,0,0
77,1,1,1,1
78,1,0,0,0
79,1,1,1,1
80,1,1,1,1
81,0,0,0,0
82,1,0,1,1
83,1,1,1,1
84,1,1,1,1
85,1,1,1,1
86,1,1,1,1
87,1,1,1,1
88,1,1,1,1
89,1,1,1,1
90,0,0,1,0
91,0,0,1,0
92,1,1,1,1
93,1,1,1,0
94,1,1,0,1
95,0,1,1,0
96,0,0,1,0
97,0,0,0,1
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,1,0,1
102,1,1,0,0
103,1,1,0,0
104,0,0,1,0
105,1,1,1,1
106,1,1,1,1
107,1,0,1,1
108,1,1,1,1
109,0,0,0,0
110,0,0,0,0
111,0,1,1,0
112,0,0,1,1
113,1,1,1,1
