task_id,Trial_1,Trial_2,Trial_3,Trial_4
0,1,1,1,1
1,1,1,1,1
2,1,1,0,0
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,0,1,1
11,0,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,0,0,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,0,0,0,0
19,0,0,0,0
20,1,0,1,1
21,1,0,0,0
22,1,1,0,1
23,1,1,1,0
24,0,0,0,0
25,0,0,1,0
26,1,1,1,1
27,0,1,0,0
28,1,1,1,0
29,1,1,0,1
30,1,1,0,1
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,1,1,1
35,1,1,1,1
36,0,1,0,1
37,0,0,0,0
38,1,0,1,0
39,1,0,0,1
40,1,1,1,1
41,0,1,1,0
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,0,0,0,1
50,1,1,1,1
51,1,1,1,1
52,0,1,1,1
53,1,1,1,1
54,1,0,0,0
55,0,1,0,1
56,1,1,1,1
57,0,0,0,1
58,1,1,1,1
59,0,0,0,1
60,1,0,1,1
61,1,1,1,1
62,1,1,1,1
63,0,1,0,0
64,0,0,0,0
65,1,1,1,1
66,1,1,1,1
67,1,1,1,1
68,1,1,1,1
69,1,1,1,1
70,1,1,1,1
71,0,0,0,0
72,0,0,0,0
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,1,1,0,0
77,1,1,1,1
78,1,1,1,1
79,1,1,1,1
80,1,1,1,1
81,1,1,1,1
82,0,0,1,1
83,1,1,1,1
84,1,1,1,1
85,1,1,1,1
86,1,1,0,0
87,1,1,1,1
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,1,1,1,1
97,1,1,1,1
98,0,0,0,0
99,0,0,0,0
100,0,1,0,0
101,0,0,1,1
102,0,1,1,0
103,1,1,0,1
104,1,1,1,0
105,1,1,1,1
106,1,1,1,1
107,1,1,1,1
108,1,1,1,1
109,0,0,0,0
110,0,0,0,1
111,1,1,1,1
112,1,1,1,1
113,1,0,0,0
